class,name,n,A_nnz,density_pct,cu_cnnz,man_cnnz,merge_cnnz,merge2_cnnz,merge3_cnnz,merge6_cnnz,merge7_cnnz,cnnz_gap_pct,buf2,cu_we,cu_compute,cu_copy,cu_d2h,cu_kernel,cu_time,cu_write,man_count,man_fill,man_kernel,man_time,merge_time,merge2_time,merge3_time,merge6_time,merge7_time,man_write,cu_compute_t,man_compute_t,merge_compute_t,merge2_compute_t,merge3_compute_t,merge6_compute_t,merge7_compute_t,phases,cublas_ms,ocean_ms
Dense,bcsstk02,66,4356,100.0,4356,4356,4356,4356,4356,4356,4356,0.0,,0.05200000000002092,0.19500000000005002,0.041999999999916326,0.08299999999996999,0.28899999999998727,0.516,,,,,0.878,1.761,0.479,0.293,0.477,0.459,,0.30500000000006366,0.6850000000000591,1.6180000000000518,0.33600000000001273,0.1430000000000291,0.28100000000006276,0.26700000000005275,"{('cu', 'start'): 579.758, ('cu', 'h2dmalloc'): 579.807, ('cu', 'h2d'): 579.823, ('cu', 'workest'): 579.875, ('cu', 'compute'): 580.07, ('cu', 'copy'): 580.112, ('cu', 'pack'): 580.128, ('cu', 'd2h'): 580.211, ('gust', 'start'): 580.281, ('gust', 'h2d'): 580.342, ('gust', 'count'): 580.364, ('gust', 'scan'): 580.398, ('gust', 'expand'): 580.486, ('gust', 'sort'): 580.717, ('gust', 'reduce'): 580.851, ('gust', 'final'): 581.008, ('gust', 'pack'): 581.027, ('gust', 'd2h'): 581.037, ('merge', 'start'): 581.164, ('merge', 'h2d'): 581.226, ('merge', 'count'): 581.249, ('merge', 'scan'): 581.282, ('merge', 'expand'): 581.733, ('merge', 'merge'): 582.596, ('merge', 'final'): 582.7, ('merge', 'compact'): 582.824, ('merge', 'pack'): 582.844, ('merge', 'd2h'): 582.854, ('mrg2', 'start'): 582.931, ('mrg2', 'h2d'): 582.994, ('mrg2', 'count'): 583.017, ('mrg2', 'scan'): 583.049, ('mrg2', 'merge'): 583.204, ('mrg2', 'final'): 583.238, ('mrg2', 'compact'): 583.311, ('mrg2', 'pack'): 583.33, ('mrg2', 'd2h'): 583.34, ('mrg3', 'start'): 583.416, ('mrg3', 'h2d'): 583.476, ('mrg3', 'count'): 583.513, ('mrg3', 'scan'): 583.56, ('mrg3', 'merge'): 583.604, ('mrg3', 'pack'): 583.619, ('mrg3', 'd2h'): 583.629, ('mrg6', 'start'): 583.714, ('mrg6', 'h2d'): 583.776, ('mrg6', 'mean_numk'): 583.781, ('mrg6', 'scan'): 583.829, ('mrg6', 'classify'): 583.833, ('mrg6', 'light'): 583.992, ('mrg6', 'compact'): 584.041, ('mrg6', 'pack'): 584.057, ('mrg6', 'd2h'): 584.067, ('mrg7', 'start'): 584.196, ('mrg7', 'h2d'): 584.257, ('mrg7', 'mean_numk'): 584.262, ('mrg7', 'scan'): 584.309, ('mrg7', 'classify'): 584.314, ('mrg7', 'light'): 584.462, ('mrg7', 'compact'): 584.508, ('mrg7', 'pack'): 584.524, ('mrg7', 'd2h'): 584.534}",0.0393239315599203,0.677606396540068
Dense,can_24,24,160,27.77777777777778,336,336,336,336,336,336,336,0.0,,0.04100000000005366,0.1430000000000291,0.04499999999995907,0.023000000000024556,0.22900000000004184,0.397,,,,,0.361,0.341,0.291,0.243,0.296,0.288,,0.2440000000000282,0.2179999999999609,0.19799999999997908,0.15200000000004366,0.1029999999999518,0.15300000000002,0.1449999999999818,"{('cu', 'start'): 572.673, ('cu', 'h2dmalloc'): 572.723, ('cu', 'h2d'): 572.737, ('cu', 'workest'): 572.778, ('cu', 'compute'): 572.921, ('cu', 'copy'): 572.966, ('cu', 'pack'): 572.981, ('cu', 'd2h'): 573.004, ('gust', 'start'): 573.075, ('gust', 'h2d'): 573.135, ('gust', 'count'): 573.155, ('gust', 'scan'): 573.187, ('gust', 'expand'): 573.208, ('gust', 'sort'): 573.251, ('gust', 'reduce'): 573.288, ('gust', 'final'): 573.338, ('gust', 'pack'): 573.353, ('gust', 'd2h'): 573.362, ('merge', 'start'): 573.442, ('merge', 'h2d'): 573.505, ('merge', 'count'): 573.524, ('merge', 'scan'): 573.555, ('merge', 'expand'): 573.582, ('merge', 'merge'): 573.627, ('merge', 'final'): 573.666, ('merge', 'compact'): 573.689, ('merge', 'pack'): 573.703, ('merge', 'd2h'): 573.712, ('mrg2', 'start'): 573.788, ('mrg2', 'h2d'): 573.846, ('mrg2', 'count'): 573.869, ('mrg2', 'scan'): 573.899, ('mrg2', 'merge'): 573.932, ('mrg2', 'final'): 573.962, ('mrg2', 'compact'): 573.983, ('mrg2', 'pack'): 573.998, ('mrg2', 'd2h'): 574.007, ('mrg3', 'start'): 574.085, ('mrg3', 'h2d'): 574.143, ('mrg3', 'count'): 574.165, ('mrg3', 'scan'): 574.209, ('mrg3', 'merge'): 574.232, ('mrg3', 'pack'): 574.246, ('mrg3', 'd2h'): 574.255, ('mrg6', 'start'): 574.333, ('mrg6', 'h2d'): 574.39, ('mrg6', 'mean_numk'): 574.395, ('mrg6', 'scan'): 574.437, ('mrg6', 'classify'): 574.443, ('mrg6', 'light'): 574.474, ('mrg6', 'compact'): 574.526, ('mrg6', 'pack'): 574.543, ('mrg6', 'd2h'): 574.552, ('mrg7', 'start'): 574.633, ('mrg7', 'h2d'): 574.692, ('mrg7', 'mean_numk'): 574.7, ('mrg7', 'scan'): 574.741, ('mrg7', 'classify'): 574.745, ('mrg7', 'light'): 574.777, ('mrg7', 'compact'): 574.821, ('mrg7', 'pack'): 574.837, ('mrg7', 'd2h'): 574.846}",0.0484699849039316,0.1860704004997387
Dense,bcsstk04,132,3648,20.9366391184573,11968,11968,11968,11968,11968,11968,11968,0.0,,0.05299999999999727,0.20600000000001728,0.05199999999990723,0.08600000000001273,0.3109999999999218,0.539,,,,,0.688,1.193,0.427,0.308,0.411,0.407,,0.3269999999999982,0.5380000000000109,1.0480000000000018,0.2740000000000009,0.1610000000000582,0.25900000000001455,0.2579999999999245,"{('cu', 'start'): 583.257, ('cu', 'h2dmalloc'): 583.307, ('cu', 'h2d'): 583.321, ('cu', 'workest'): 583.374, ('cu', 'compute'): 583.58, ('cu', 'copy'): 583.632, ('cu', 'pack'): 583.648, ('cu', 'd2h'): 583.734, ('gust', 'start'): 583.804, ('gust', 'h2d'): 583.865, ('gust', 'count'): 583.885, ('gust', 'scan'): 583.919, ('gust', 'expand'): 583.956, ('gust', 'sort'): 584.182, ('gust', 'reduce'): 584.275, ('gust', 'final'): 584.385, ('gust', 'pack'): 584.403, ('gust', 'd2h'): 584.415, ('merge', 'start'): 584.498, ('merge', 'h2d'): 584.558, ('merge', 'count'): 584.582, ('merge', 'scan'): 584.614, ('merge', 'expand'): 584.783, ('merge', 'merge'): 585.471, ('merge', 'final'): 585.51, ('merge', 'compact'): 585.587, ('merge', 'pack'): 585.606, ('merge', 'd2h'): 585.618, ('mrg2', 'start'): 585.696, ('mrg2', 'h2d'): 585.756, ('mrg2', 'count'): 585.781, ('mrg2', 'scan'): 585.813, ('mrg2', 'merge'): 585.961, ('mrg2', 'final'): 585.992, ('mrg2', 'compact'): 586.014, ('mrg2', 'pack'): 586.03, ('mrg2', 'd2h'): 586.042, ('mrg3', 'start'): 586.129, ('mrg3', 'h2d'): 586.189, ('mrg3', 'count'): 586.234, ('mrg3', 'scan'): 586.279, ('mrg3', 'merge'): 586.335, ('mrg3', 'pack'): 586.35, ('mrg3', 'd2h'): 586.362, ('mrg6', 'start'): 586.442, ('mrg6', 'h2d'): 586.502, ('mrg6', 'mean_numk'): 586.506, ('mrg6', 'scan'): 586.551, ('mrg6', 'classify'): 586.56, ('mrg6', 'light'): 586.702, ('mrg6', 'compact'): 586.745, ('mrg6', 'pack'): 586.761, ('mrg6', 'd2h'): 586.773, ('mrg7', 'start'): 586.857, ('mrg7', 'h2d'): 586.916, ('mrg7', 'mean_numk'): 586.924, ('mrg7', 'scan'): 586.969, ('mrg7', 'classify'): 586.973, ('mrg7', 'light'): 587.115, ('mrg7', 'compact'): 587.158, ('mrg7', 'pack'): 587.174, ('mrg7', 'd2h'): 587.187}",0.0252940226346254,0.3846687985584139
Dense,bcsstk01,48,400,17.36111111111111,1292,1292,1292,1292,1292,1292,1292,0.0,,0.04899999999997817,0.14800000000002456,0.04699999999991178,0.027000000000043656,0.2439999999999145,0.413,,,,,0.428,0.374,0.304,0.25,0.304,0.292,,0.26099999999996726,0.2869999999999209,0.2340000000000373,0.16700000000003,0.11199999999996635,0.16200000000003456,0.14999999999997726,"{('cu', 'start'): 575.388, ('cu', 'h2dmalloc'): 575.437, ('cu', 'h2d'): 575.45, ('cu', 'workest'): 575.499, ('cu', 'compute'): 575.647, ('cu', 'copy'): 575.694, ('cu', 'pack'): 575.711, ('cu', 'd2h'): 575.738, ('gust', 'start'): 575.808, ('gust', 'h2d'): 575.868, ('gust', 'count'): 575.892, ('gust', 'scan'): 575.923, ('gust', 'expand'): 575.945, ('gust', 'sort'): 576.053, ('gust', 'reduce'): 576.09, ('gust', 'final'): 576.137, ('gust', 'pack'): 576.155, ('gust', 'd2h'): 576.164, ('merge', 'start'): 576.242, ('merge', 'h2d'): 576.303, ('merge', 'count'): 576.327, ('merge', 'scan'): 576.357, ('merge', 'expand'): 576.391, ('merge', 'merge'): 576.463, ('merge', 'final'): 576.498, ('merge', 'compact'): 576.52, ('merge', 'pack'): 576.537, ('merge', 'd2h'): 576.546, ('mrg2', 'start'): 576.621, ('mrg2', 'h2d'): 576.679, ('mrg2', 'count'): 576.699, ('mrg2', 'scan'): 576.734, ('mrg2', 'merge'): 576.779, ('mrg2', 'final'): 576.809, ('mrg2', 'compact'): 576.832, ('mrg2', 'pack'): 576.846, ('mrg2', 'd2h'): 576.855, ('mrg3', 'start'): 576.931, ('mrg3', 'h2d'): 576.989, ('mrg3', 'count'): 577.014, ('mrg3', 'scan'): 577.058, ('mrg3', 'merge'): 577.086, ('mrg3', 'pack'): 577.101, ('mrg3', 'd2h'): 577.11, ('mrg6', 'start'): 577.187, ('mrg6', 'h2d'): 577.246, ('mrg6', 'mean_numk'): 577.251, ('mrg6', 'scan'): 577.293, ('mrg6', 'classify'): 577.302, ('mrg6', 'light'): 577.344, ('mrg6', 'compact'): 577.391, ('mrg6', 'pack'): 577.408, ('mrg6', 'd2h'): 577.417, ('mrg7', 'start'): 577.495, ('mrg7', 'h2d'): 577.553, ('mrg7', 'mean_numk'): 577.558, ('mrg7', 'scan'): 577.599, ('mrg7', 'classify'): 577.604, ('mrg7', 'light'): 577.645, ('mrg7', 'compact'): 577.687, ('mrg7', 'pack'): 577.703, ('mrg7', 'd2h'): 577.712}",0.047749956138432,0.2419999993173405
Dense,can_61,61,557,14.969094329481322,1793,1793,1793,1793,1793,1793,1793,0.0,,0.07200000000000273,0.17600000000004457,0.06499999999994088,0.02699999999992997,0.3129999999999882,0.547,,,,,0.566,0.564,0.414,0.344,0.409,0.408,,0.3380000000000791,0.36599999999998545,0.3669999999999618,0.22100000000000364,0.15300000000002,0.21299999999996544,0.21199999999998909,"{('cu', 'start'): 707.517, ('cu', 'h2dmalloc'): 707.582, ('cu', 'h2d'): 707.602, ('cu', 'workest'): 707.674, ('cu', 'compute'): 707.85, ('cu', 'copy'): 707.915, ('cu', 'pack'): 707.94, ('cu', 'd2h'): 707.967, ('gust', 'start'): 708.073, ('gust', 'h2d'): 708.154, ('gust', 'count'): 708.18, ('gust', 'scan'): 708.225, ('gust', 'expand'): 708.254, ('gust', 'sort'): 708.38, ('gust', 'reduce'): 708.429, ('gust', 'final'): 708.495, ('gust', 'pack'): 708.52, ('gust', 'd2h'): 708.532, ('merge', 'start'): 708.645, ('merge', 'h2d'): 708.73, ('merge', 'count'): 708.754, ('merge', 'scan'): 708.797, ('merge', 'expand'): 708.846, ('merge', 'merge'): 709.002, ('merge', 'final'): 709.047, ('merge', 'compact'): 709.075, ('merge', 'pack'): 709.097, ('merge', 'd2h'): 709.111, ('mrg2', 'start'): 709.216, ('mrg2', 'h2d'): 709.296, ('mrg2', 'count'): 709.32, ('mrg2', 'scan'): 709.359, ('mrg2', 'merge'): 709.42, ('mrg2', 'final'): 709.459, ('mrg2', 'compact'): 709.494, ('mrg2', 'pack'): 709.517, ('mrg2', 'd2h'): 709.529, ('mrg3', 'start'): 709.636, ('mrg3', 'h2d'): 709.715, ('mrg3', 'count'): 709.748, ('mrg3', 'scan'): 709.81, ('mrg3', 'merge'): 709.845, ('mrg3', 'pack'): 709.868, ('mrg3', 'd2h'): 709.88, ('mrg6', 'start'): 709.986, ('mrg6', 'h2d'): 710.063, ('mrg6', 'mean_numk'): 710.069, ('mrg6', 'scan'): 710.127, ('mrg6', 'classify'): 710.132, ('mrg6', 'light'): 710.189, ('mrg6', 'compact'): 710.252, ('mrg6', 'pack'): 710.276, ('mrg6', 'd2h'): 710.287, ('mrg7', 'start'): 710.401, ('mrg7', 'h2d'): 710.479, ('mrg7', 'mean_numk'): 710.491, ('mrg7', 'scan'): 710.551, ('mrg7', 'classify'): 710.556, ('mrg7', 'light'): 710.612, ('mrg7', 'compact'): 710.668, ('mrg7', 'pack'): 710.691, ('mrg7', 'd2h'): 710.704}",0.0283770496025681,0.2481407996965572
Dense,bcsstk05,153,2423,10.350719808620616,7245,7245,7245,7245,7245,7245,7245,0.0,,0.05400000000008731,0.14299999999991542,0.05000000000006821,0.02500000000009095,0.24700000000007094,0.419,,,,,0.46,0.52,0.338,0.288,0.33,0.316,,0.26499999999998636,0.3079999999999927,0.3709999999999809,0.19299999999998363,0.14599999999995816,0.18600000000003547,0.17099999999993543,"{('cu', 'start'): 596.823, ('cu', 'h2dmalloc'): 596.875, ('cu', 'h2d'): 596.891, ('cu', 'workest'): 596.945, ('cu', 'compute'): 597.088, ('cu', 'copy'): 597.138, ('cu', 'pack'): 597.156, ('cu', 'd2h'): 597.181, ('gust', 'start'): 597.25, ('gust', 'h2d'): 597.312, ('gust', 'count'): 597.333, ('gust', 'scan'): 597.364, ('gust', 'expand'): 597.391, ('gust', 'sort'): 597.515, ('gust', 'reduce'): 597.553, ('gust', 'final'): 597.603, ('gust', 'pack'): 597.62, ('gust', 'd2h'): 597.631, ('merge', 'start'): 597.722, ('merge', 'h2d'): 597.788, ('merge', 'count'): 597.81, ('merge', 'scan'): 597.844, ('merge', 'expand'): 597.91, ('merge', 'merge'): 598.085, ('merge', 'final'): 598.121, ('merge', 'compact'): 598.144, ('merge', 'pack'): 598.159, ('merge', 'd2h'): 598.17, ('mrg2', 'start'): 598.245, ('mrg2', 'h2d'): 598.308, ('mrg2', 'count'): 598.336, ('mrg2', 'scan'): 598.367, ('mrg2', 'merge'): 598.431, ('mrg2', 'final'): 598.463, ('mrg2', 'compact'): 598.485, ('mrg2', 'pack'): 598.501, ('mrg2', 'd2h'): 598.512, ('mrg3', 'start'): 598.588, ('mrg3', 'h2d'): 598.649, ('mrg3', 'count'): 598.687, ('mrg3', 'scan'): 598.732, ('mrg3', 'merge'): 598.78, ('mrg3', 'pack'): 598.795, ('mrg3', 'd2h'): 598.807, ('mrg6', 'start'): 598.882, ('mrg6', 'h2d'): 598.943, ('mrg6', 'mean_numk'): 598.956, ('mrg6', 'scan'): 598.999, ('mrg6', 'classify'): 599.005, ('mrg6', 'light'): 599.069, ('mrg6', 'compact'): 599.112, ('mrg6', 'pack'): 599.129, ('mrg6', 'd2h'): 599.14, ('mrg7', 'start'): 599.22, ('mrg7', 'h2d'): 599.283, ('mrg7', 'mean_numk'): 599.288, ('mrg7', 'scan'): 599.332, ('mrg7', 'classify'): 599.337, ('mrg7', 'light'): 599.397, ('mrg7', 'compact'): 599.437, ('mrg7', 'pack'): 599.454, ('mrg7', 'd2h'): 599.465}",0.0384900486096739,0.2763999989489094
Mildly sparse,bcspwr01,39,131,8.61275476660092,275,275,275,275,275,275,275,0.0,,0.04000000000007731,0.14199999999993906,0.04499999999995907,0.021999999999934516,0.22699999999997544,0.391,,,,,0.36,0.316,0.283,0.249,0.282,0.273,,0.2420000000000755,0.20799999999997,0.17399999999997817,0.14199999999993906,0.10399999999992815,0.13900000000001,0.13200000000006185,"{('cu', 'start'): 578.141, ('cu', 'h2dmalloc'): 578.191, ('cu', 'h2d'): 578.203, ('cu', 'workest'): 578.243, ('cu', 'compute'): 578.385, ('cu', 'copy'): 578.43, ('cu', 'pack'): 578.445, ('cu', 'd2h'): 578.467, ('gust', 'start'): 578.539, ('gust', 'h2d'): 578.604, ('gust', 'count'): 578.623, ('gust', 'scan'): 578.654, ('gust', 'expand'): 578.674, ('gust', 'sort'): 578.716, ('gust', 'reduce'): 578.751, ('gust', 'final'): 578.798, ('gust', 'pack'): 578.812, ('gust', 'd2h'): 578.821, ('merge', 'start'): 578.905, ('merge', 'h2d'): 578.964, ('merge', 'count'): 578.982, ('merge', 'scan'): 579.013, ('merge', 'expand'): 579.034, ('merge', 'merge'): 579.066, ('merge', 'final'): 579.1, ('merge', 'compact'): 579.124, ('merge', 'pack'): 579.138, ('merge', 'd2h'): 579.147, ('mrg2', 'start'): 579.226, ('mrg2', 'h2d'): 579.283, ('mrg2', 'count'): 579.302, ('mrg2', 'scan'): 579.333, ('mrg2', 'merge'): 579.36, ('mrg2', 'final'): 579.39, ('mrg2', 'compact'): 579.411, ('mrg2', 'pack'): 579.425, ('mrg2', 'd2h'): 579.435, ('mrg3', 'start'): 579.514, ('mrg3', 'h2d'): 579.575, ('mrg3', 'count'): 579.598, ('mrg3', 'scan'): 579.641, ('mrg3', 'merge'): 579.664, ('mrg3', 'pack'): 579.679, ('mrg3', 'd2h'): 579.687, ('mrg6', 'start'): 579.768, ('mrg6', 'h2d'): 579.825, ('mrg6', 'mean_numk'): 579.83, ('mrg6', 'scan'): 579.872, ('mrg6', 'classify'): 579.876, ('mrg6', 'light'): 579.902, ('mrg6', 'compact'): 579.949, ('mrg6', 'pack'): 579.964, ('mrg6', 'd2h'): 579.973, ('mrg7', 'start'): 580.055, ('mrg7', 'h2d'): 580.112, ('mrg7', 'mean_numk'): 580.117, ('mrg7', 'scan'): 580.159, ('mrg7', 'classify'): 580.163, ('mrg7', 'light'): 580.189, ('mrg7', 'compact'): 580.229, ('mrg7', 'pack'): 580.244, ('mrg7', 'd2h'): 580.254}",0.0476549612358212,0.157062399899587
Mildly sparse,can_96,96,768,8.333333333333332,1920,1920,1920,1920,1920,1920,1920,0.0,,0.04899999999997817,0.15499999999997272,0.04800000000000182,0.021999999999934516,0.2519999999999527,0.419,,,,,0.422,0.344,0.306,0.244,0.296,0.294,,0.26900000000000546,0.2799999999999727,0.20500000000004093,0.16200000000003456,0.10800000000006094,0.15599999999994907,0.1570000000000391,"{('cu', 'start'): 585.682, ('cu', 'h2dmalloc'): 585.732, ('cu', 'h2d'): 585.745, ('cu', 'workest'): 585.794, ('cu', 'compute'): 585.949, ('cu', 'copy'): 585.997, ('cu', 'pack'): 586.014, ('cu', 'd2h'): 586.036, ('gust', 'start'): 586.109, ('gust', 'h2d'): 586.171, ('gust', 'count'): 586.19, ('gust', 'scan'): 586.222, ('gust', 'expand'): 586.244, ('gust', 'sort'): 586.348, ('gust', 'reduce'): 586.385, ('gust', 'final'): 586.434, ('gust', 'pack'): 586.451, ('gust', 'd2h'): 586.46, ('merge', 'start'): 586.536, ('merge', 'h2d'): 586.598, ('merge', 'count'): 586.619, ('merge', 'scan'): 586.65, ('merge', 'expand'): 586.681, ('merge', 'merge'): 586.731, ('merge', 'final'): 586.767, ('merge', 'compact'): 586.789, ('merge', 'pack'): 586.803, ('merge', 'd2h'): 586.812, ('mrg2', 'start'): 586.886, ('mrg2', 'h2d'): 586.951, ('mrg2', 'count'): 586.971, ('mrg2', 'scan'): 587.001, ('mrg2', 'merge'): 587.044, ('mrg2', 'final'): 587.075, ('mrg2', 'compact'): 587.097, ('mrg2', 'pack'): 587.113, ('mrg2', 'd2h'): 587.122, ('mrg3', 'start'): 587.197, ('mrg3', 'h2d'): 587.256, ('mrg3', 'count'): 587.281, ('mrg3', 'scan'): 587.324, ('mrg3', 'merge'): 587.35, ('mrg3', 'pack'): 587.364, ('mrg3', 'd2h'): 587.374, ('mrg6', 'start'): 587.446, ('mrg6', 'h2d'): 587.504, ('mrg6', 'mean_numk'): 587.508, ('mrg6', 'scan'): 587.552, ('mrg6', 'classify'): 587.562, ('mrg6', 'light'): 587.598, ('mrg6', 'compact'): 587.645, ('mrg6', 'pack'): 587.66, ('mrg6', 'd2h'): 587.67, ('mrg7', 'start'): 587.746, ('mrg7', 'h2d'): 587.805, ('mrg7', 'mean_numk'): 587.81, ('mrg7', 'scan'): 587.852, ('mrg7', 'classify'): 587.862, ('mrg7', 'light'): 587.897, ('mrg7', 'compact'): 587.946, ('mrg7', 'pack'): 587.962, ('mrg7', 'd2h'): 587.972}",0.0486249336972832,0.2478976000798866
Mildly sparse,arc130,130,1282,7.585798816568047,15631,15631,15631,15631,15631,15631,15631,0.0,,0.06399999999996453,0.15899999999999181,0.06399999999996453,0.03799999999989723,0.2869999999999209,0.519,,,,,0.577,1.763,0.559,0.398,0.602,0.603,,0.3120000000000118,0.3849999999999909,1.5769999999999982,0.3730000000000473,0.21000000000003638,0.4130000000000109,0.4130000000000109,"{('cu', 'start'): 582.692, ('cu', 'h2dmalloc'): 582.761, ('cu', 'h2d'): 582.782, ('cu', 'workest'): 582.846, ('cu', 'compute'): 583.005, ('cu', 'copy'): 583.069, ('cu', 'pack'): 583.094, ('cu', 'd2h'): 583.132, ('gust', 'start'): 583.221, ('gust', 'h2d'): 583.297, ('gust', 'count'): 583.326, ('gust', 'scan'): 583.368, ('gust', 'expand'): 583.415, ('gust', 'sort'): 583.547, ('gust', 'reduce'): 583.595, ('gust', 'final'): 583.658, ('gust', 'pack'): 583.682, ('gust', 'd2h'): 583.698, ('merge', 'start'): 583.806, ('merge', 'h2d'): 583.884, ('merge', 'count'): 583.914, ('merge', 'scan'): 583.956, ('merge', 'expand'): 584.1, ('merge', 'merge'): 585.355, ('merge', 'final'): 585.404, ('merge', 'compact'): 585.436, ('merge', 'pack'): 585.461, ('merge', 'd2h'): 585.478, ('mrg2', 'start'): 585.577, ('mrg2', 'h2d'): 585.655, ('mrg2', 'count'): 585.684, ('mrg2', 'scan'): 585.728, ('mrg2', 'merge'): 585.935, ('mrg2', 'final'): 585.975, ('mrg2', 'compact'): 586.005, ('mrg2', 'pack'): 586.028, ('mrg2', 'd2h'): 586.044, ('mrg3', 'start'): 586.144, ('mrg3', 'h2d'): 586.221, ('mrg3', 'count'): 586.28, ('mrg3', 'scan'): 586.334, ('mrg3', 'merge'): 586.408, ('mrg3', 'pack'): 586.431, ('mrg3', 'd2h'): 586.451, ('mrg6', 'start'): 586.552, ('mrg6', 'h2d'): 586.628, ('mrg6', 'mean_numk'): 586.634, ('mrg6', 'scan'): 586.689, ('mrg6', 'classify'): 586.702, ('mrg6', 'light'): 586.836, ('mrg6', 'heavy'): 586.962, ('mrg6', 'compact'): 587.017, ('mrg6', 'pack'): 587.041, ('mrg6', 'd2h'): 587.056, ('mrg7', 'start'): 587.16, ('mrg7', 'h2d'): 587.237, ('mrg7', 'mean_numk'): 587.243, ('mrg7', 'scan'): 587.298, ('mrg7', 'classify'): 587.311, ('mrg7', 'light'): 587.444, ('mrg7', 'heavy'): 587.573, ('mrg7', 'compact'): 587.626, ('mrg7', 'pack'): 587.65, ('mrg7', 'd2h'): 587.667}",0.0492749968543648,0.2958240004489199
Mildly sparse,ash85,85,523,7.2387543252595155,1317,1317,1317,1317,1317,1317,1317,0.0,,0.04899999999997817,0.1490000000000009,0.05000000000006821,0.02400000000000091,0.2480000000000473,0.412,,,,,0.431,0.34,0.293,0.258,0.285,0.278,,0.26400000000001,0.2839999999999918,0.20100000000002183,0.1510000000000673,0.11799999999993815,0.14999999999997726,0.14199999999993906,"{('cu', 'start'): 590.094, ('cu', 'h2dmalloc'): 590.143, ('cu', 'h2d'): 590.155, ('cu', 'workest'): 590.204, ('cu', 'compute'): 590.353, ('cu', 'copy'): 590.403, ('cu', 'pack'): 590.419, ('cu', 'd2h'): 590.443, ('gust', 'start'): 590.513, ('gust', 'h2d'): 590.581, ('gust', 'count'): 590.6, ('gust', 'scan'): 590.633, ('gust', 'expand'): 590.655, ('gust', 'sort'): 590.761, ('gust', 'reduce'): 590.799, ('gust', 'final'): 590.849, ('gust', 'pack'): 590.865, ('gust', 'd2h'): 590.874, ('merge', 'start'): 590.95, ('merge', 'h2d'): 591.01, ('merge', 'count'): 591.032, ('merge', 'scan'): 591.062, ('merge', 'expand'): 591.088, ('merge', 'merge'): 591.14, ('merge', 'final'): 591.175, ('merge', 'compact'): 591.197, ('merge', 'pack'): 591.211, ('merge', 'd2h'): 591.221, ('mrg2', 'start'): 591.296, ('mrg2', 'h2d'): 591.353, ('mrg2', 'count'): 591.372, ('mrg2', 'scan'): 591.402, ('mrg2', 'merge'): 591.439, ('mrg2', 'final'): 591.467, ('mrg2', 'compact'): 591.488, ('mrg2', 'pack'): 591.504, ('mrg2', 'd2h'): 591.513, ('mrg3', 'start'): 591.595, ('mrg3', 'h2d'): 591.653, ('mrg3', 'count'): 591.682, ('mrg3', 'scan'): 591.726, ('mrg3', 'merge'): 591.757, ('mrg3', 'pack'): 591.771, ('mrg3', 'd2h'): 591.78, ('mrg6', 'start'): 591.858, ('mrg6', 'h2d'): 591.914, ('mrg6', 'mean_numk'): 591.919, ('mrg6', 'scan'): 591.962, ('mrg6', 'classify'): 591.97, ('mrg6', 'light'): 592.002, ('mrg6', 'compact'): 592.048, ('mrg6', 'pack'): 592.064, ('mrg6', 'd2h'): 592.073, ('mrg7', 'start'): 592.149, ('mrg7', 'h2d'): 592.206, ('mrg7', 'mean_numk'): 592.211, ('mrg7', 'scan'): 592.252, ('mrg7', 'classify'): 592.258, ('mrg7', 'light'): 592.292, ('mrg7', 'compact'): 592.331, ('mrg7', 'pack'): 592.348, ('mrg7', 'd2h'): 592.357}",0.0290180323645472,0.1676159996073693
