matrix,n,density_pct,HLL_ms,MinHash_ms,ratio_MH_HLL,HLL_overalloc,MH_overalloc,HLL_cnnz,MH_cnnz
1138_bus,1138,0.2005,0.24,0.248,1.033,1.63,1.63,11142,11142
494_bus,494,0.4426,0.209,0.202,0.967,1.63,1.63,4062,4062
662_bus,662,0.3578,0.198,0.206,1.04,1.65,1.65,6480,6480
685_bus,685,0.4192,0.208,0.215,1.034,1.89,1.89,9337,9337
arc130,130,7.5858,0.262,0.253,0.966,2.67,2.67,15631,15631
ash292,292,1.466,0.204,0.212,1.039,2.91,2.91,6042,6042
ash85,85,4.2076,0.191,0.191,1.0,2.57,2.57,1317,1317
bcspwr01,39,5.5884,0.176,0.179,1.017,1.74,1.74,275,275
bcspwr02,49,4.4981,0.177,0.18,1.017,1.65,1.65,403,403
bcspwr03,118,2.133,0.192,0.195,1.016,1.74,1.74,1270,1270
bcspwr04,274,1.2561,0.231,0.231,1.0,2.5,2.5,4982,4982
bcspwr05,443,0.5264,0.197,0.215,1.091,1.66,1.66,4249,4249
bcspwr06,1454,0.1597,0.235,0.229,0.974,1.62,1.62,14110,14110
bcspwr07,1612,0.1431,0.25,0.25,1.0,1.61,1.61,15684,15684
bcspwr08,1624,0.1455,0.25,0.244,0.976,1.61,1.61,16916,16916
bcspwr09,1723,0.1387,0.25,0.253,1.012,1.61,1.61,18485,18485
bcspwr10,5300,0.0483,0.276,0.275,0.996,1.67,1.67,60498,60498
bcsstk01,48,9.7222,0.185,0.18,0.973,2.68,2.68,1292,1292
bcsstk02,66,50.7576,0.267,0.251,0.94,66.0,66.0,4356,4356
bcsstk03,112,2.9974,0.162,0.163,1.006,3.45,3.45,1072,1072
bcsstk04,132,10.8471,0.206,0.215,1.044,9.7,9.7,11968,11968
bcsstk05,153,5.5022,0.201,0.2,0.995,5.85,5.85,7245,7245
bcsstk06,420,2.3469,0.236,0.217,0.919,6.96,6.96,23660,23660
bcsstk07,420,2.3469,0.208,0.216,1.038,6.96,6.96,23660,23660
bcsstk08,1074,0.6083,0.54,0.541,1.002,2.07,2.07,305612,305612
bcsstk09,1083,0.8321,0.213,0.201,0.944,4.66,4.66,71289,71289
bcsstk10,1086,0.9817,0.219,0.232,1.059,8.86,8.86,54504,54504
bcsstk11,1473,0.823,0.244,0.243,0.996,9.16,9.16,94187,94187
bcsstk12,1473,0.823,0.237,0.243,1.025,9.16,9.16,94187,94187
bcsstk13,2003,1.0704,0.818,0.872,1.066,11.48,11.48,396773,396773
bcsstk14,1806,1.0004,0.477,0.474,0.994,12.24,12.24,195654,195654
bcsstk15,3948,0.3906,0.319,0.303,0.95,3.18,3.18,527688,527688
bcsstk16,4884,0.6189,0.478,0.498,1.042,2.96,2.96,1038782,1038782
bcsstk17,10974,0.1825,0.6,0.607,1.012,3.12,3.12,1406936,1406936
bcsstk18,11948,0.0564,0.475,0.366,0.771,2.88,2.88,713208,713208
bcsstk19,817,0.5745,0.2,0.207,1.035,3.38,3.38,18305,18305
bcsstk20,485,0.7695,0.192,0.201,1.047,4.14,4.14,5545,5545
bcsstk21,3600,0.1165,0.217,0.221,1.018,2.16,2.16,93072,93072
bcsstk22,138,2.1897,0.183,0.198,1.082,2.56,2.56,1552,1552
bcsstk23,3134,0.2459,0.286,0.288,1.007,3.29,3.29,220632,220632
bcsstk24,3562,0.6442,0.341,0.356,1.044,3.12,3.12,446474,446474
bcsstk25,15439,0.0561,0.447,0.428,0.957,2.93,2.93,1168919,1168919
bcsstk26,1922,0.4366,0.256,0.273,1.066,5.85,5.85,92530,92530
bcsstk27,1224,1.914,0.461,0.444,0.963,19.49,19.49,138106,138106
bcsstk28,4410,0.5744,0.437,0.446,1.021,3.13,3.13,596072,596072
bcsstk29,13992,0.1618,0.772,0.774,1.003,3.04,3.04,1965686,1965686
bcsstk30,28924,0.1239,2.713,3.258,1.201,2.88,3.14,8946070,8946070
bcsstk31,35588,0.048,1.244,1.309,1.052,2.93,2.93,4713580,4713580
bcsstk32,44609,0.0517,1.928,2.061,1.069,2.99,3.0,6819653,6819653
bcsstk33,8738,0.3933,0.955,1.084,1.135,2.9,2.96,2569536,2569536
bcsstm01,48,2.0833,0.162,0.173,1.068,1.0,1.0,48,48
bcsstm02,66,1.5152,0.164,0.16,0.976,1.0,1.0,66,66
bcsstm03,112,0.8929,0.171,0.179,1.047,1.0,1.0,112,112
bcsstm04,132,0.7576,0.169,0.155,0.917,1.0,1.0,132,132
bcsstm05,153,0.6536,0.176,0.172,0.977,1.0,1.0,153,153
bcsstm06,420,0.2381,0.174,0.174,1.0,1.0,1.0,420,420
bcsstm07,420,2.1746,0.241,0.237,0.983,6.12,6.12,22972,22972
bcsstm08,1074,0.0931,0.179,0.171,0.955,1.0,1.0,1074,1074
bcsstm09,1083,0.0923,0.195,0.182,0.933,1.0,1.0,1083,1083
bcsstm10,1086,0.9826,0.244,0.226,0.926,8.87,8.87,54504,54504
bcsstm11,1473,0.0679,0.187,0.19,1.016,1.0,1.0,1473,1473
bcsstm12,1473,0.487,0.244,0.241,0.988,5.63,5.63,53615,53615
bcsstm13,2003,0.2984,0.371,0.365,0.984,8.27,8.27,90811,90811
bcsstm19,817,0.1224,0.172,0.171,0.994,1.0,1.0,817,817
bcsstm20,485,0.2062,0.166,0.168,1.012,1.0,1.0,485,485
bcsstm21,3600,0.0278,0.19,0.212,1.116,1.0,1.0,3600,3600
bcsstm22,138,0.7246,0.173,0.171,0.988,1.0,1.0,138,138
bcsstm23,3134,0.0319,0.202,0.203,1.005,1.0,1.0,3134,3134
bcsstm24,3562,0.0281,0.213,0.203,0.953,1.0,1.0,3562,3562
bcsstm25,15439,0.0065,0.308,0.3,0.974,1.0,1.0,15439,15439
bcsstm26,1922,0.052,0.193,0.21,1.088,1.0,1.0,1922,1922
bcsstm27,1224,1.914,0.467,0.443,0.949,19.49,19.49,138106,138106
blckhole,2132,0.187,0.236,0.259,1.097,2.54,2.54,41546,41546
bp_0,822,0.4848,0.318,0.317,0.997,1.24,1.24,9384,9384
bp_1000,822,0.6898,0.364,0.409,1.124,1.15,1.15,21373,21373
bp_1200,822,0.6994,0.39,0.391,1.003,1.14,1.14,22313,22313
bp_1400,822,0.7089,0.392,0.435,1.11,1.13,1.13,23154,23154
bp_1600,822,0.7165,0.399,0.393,0.985,1.13,1.13,23625,23625
bp_200,822,0.5627,0.339,0.338,0.997,1.21,1.21,13197,13197
bp_400,822,0.5961,0.348,0.346,0.994,1.18,1.18,15238,15238
bp_600,822,0.6174,0.371,0.348,0.938,1.18,1.18,16464,16464
bp_800,822,0.671,0.378,0.398,1.053,1.16,1.16,20224,20224
can_1054,1054,0.5964,0.227,0.242,1.066,2.89,2.89,60248,60248
can_1072,1072,0.5881,0.242,0.243,1.004,2.87,2.87,62316,62316
can_144,144,3.4722,0.208,0.195,0.938,3.75,3.75,3456,3456
can_161,161,2.9667,0.187,0.187,1.0,3.2,3.2,3761,3761
can_187,187,2.3993,0.179,0.18,1.006,3.3,3.3,3719,3719
can_229,229,1.9126,0.227,0.205,0.903,2.95,2.95,5017,5017
can_24,24,15.9722,0.19,0.428,2.253,3.4,3.4,336,336
can_256,256,2.42,0.242,0.274,1.132,2.51,2.51,18568,18568
can_268,268,2.3321,0.215,0.209,0.972,2.84,2.84,15590,15590
can_292,292,1.6607,0.218,0.215,0.986,2.62,2.62,11670,11670
can_445,445,1.0741,0.186,0.211,1.134,2.98,2.98,11193,11193
can_61,61,8.3042,0.202,0.204,1.01,3.35,3.35,1793,1793
can_62,62,3.642,0.19,0.197,1.037,1.72,1.72,482,482
can_634,634,0.978,0.253,0.251,0.992,3.61,3.61,25446,25446
can_715,715,0.7218,0.27,0.258,0.956,2.18,2.18,39785,39785
can_73,73,4.2222,0.207,0.204,0.986,1.66,1.66,1377,1377
can_838,838,0.7724,0.222,0.197,0.887,2.97,2.97,51156,51156
can_96,96,4.6875,0.182,0.17,0.934,3.3,3.3,1920,1920
