matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,cnnz
1138_bus,1138,Y,0.2005,0.123,0.123,merge3,0.226,0.347,11142
494_bus,494,Y,0.4426,0.103,0.092,merge3,0.217,0.336,4062
662_bus,662,Y,0.3578,0.127,0.104,merge3,0.224,0.337,6480
685_bus,685,Y,0.4192,0.119,0.13,merge3,0.226,0.346,9337
arc130,130,N,7.5858,0.15,0.282,hash,0.383,0.445,15631
ash292,292,Y,1.466,0.123,0.11,merge3,0.232,0.349,6042
ash85,85,Y,4.2076,0.093,0.109,merge3,0.235,0.316,1317
bcspwr01,39,Y,5.5884,0.095,0.089,merge3,0.199,0.313,275
bcspwr02,49,Y,4.4981,0.091,0.094,merge3,0.201,0.336,403
bcspwr03,118,Y,2.133,0.09,0.102,merge3,0.214,0.317,1270
bcspwr04,274,Y,1.2561,0.106,0.146,merge3,0.228,0.354,4982
bcspwr05,443,Y,0.5264,0.098,0.089,merge3,0.251,0.331,4249
bcspwr06,1454,Y,0.1597,0.125,0.122,merge3,0.237,0.366,14110
bcspwr07,1612,Y,0.1431,0.134,0.14,merge3,0.222,0.355,15684
bcspwr08,1624,Y,0.1455,0.124,0.132,merge3,0.247,0.346,16916
bcspwr09,1723,Y,0.1387,0.107,0.118,merge3,0.237,0.362,18485
bcspwr10,5300,Y,0.0483,0.147,0.15,merge3,0.241,1.136,60498
bcsstk01,48,Y,9.7222,0.099,0.114,merge3,0.328,0.327,1292
bcsstk02,66,Y,50.7576,0.114,0.275,hash,0.88,0.729,4356
bcsstk03,112,Y,2.9974,0.098,0.084,merge3,0.19,0.323,1072
bcsstk04,132,Y,10.8471,0.131,0.135,merge3,0.564,0.445,11968
