n,A_nnz,cu_time,outer_time,gust_time,colw_time,inner_time,full_nnz,upper_outer,upper_gust,upper_colw,upper_inner,phases,name,class,density_pct,upper_agree,upper_nnz,implied_diag
1138,4054,1.576,1.535,1.616,1.554,1.573,11142,6140,6140,6140,6140,"{('cut', 'start'): 609.3, ('cut', 'h2d'): 609.4, ('cut', 'transpose'): 609.6, ('cut', 'workest'): 609.7, ('cut', 'compute'): 609.8, ('cut', 'copy'): 609.9, ('cut', 'pack'): 609.9, ('cut', 'd2h'): 610.8, ('atto', 'start'): 611.2, ('atto', 'csc'): 611.5, ('atto', 'h2d'): 611.5, ('atto', 'count'): 611.5, ('atto', 'scan'): 611.5, ('atto', 'expand'): 611.5, ('atto', 'sort'): 611.7, ('atto', 'reduce'): 611.7, ('atto', 'final'): 611.8, ('atto', 'pack'): 611.8, ('atto', 'd2h'): 612.6, ('attg', 'start'): 613.0, ('attg', 'csc'): 613.2, ('attg', 'h2d'): 613.2, ('attg', 'count'): 613.3, ('attg', 'scan'): 613.3, ('attg', 'expand'): 613.3, ('attg', 'compact'): 613.4, ('attg', 'sort'): 613.5, ('attg', 'reduce'): 613.6, ('attg', 'final'): 613.6, ('attg', 'pack'): 613.7, ('attg', 'd2h'): 614.5, ('attc', 'start'): 614.9, ('attc', 'csc'): 615.1, ('attc', 'h2d'): 615.2, ('attc', 'count'): 615.2, ('attc', 'scan'): 615.2, ('attc', 'expand'): 615.2, ('attc', 'compact'): 615.3, ('attc', 'sort'): 615.4, ('attc', 'reduce'): 615.5, ('attc', 'final'): 615.5, ('attc', 'pack'): 615.5, ('attc', 'd2h'): 616.4, ('atti', 'start'): 616.8, ('atti', 'csc'): 617.0, ('atti', 'h2d'): 617.0, ('atti', 'count'): 617.0, ('atti', 'scan'): 617.1, ('atti', 'expand'): 617.1, ('atti', 'compact'): 617.1, ('atti', 'sort'): 617.3, ('atti', 'reduce'): 617.3, ('atti', 'final'): 617.3, ('atti', 'symbolic'): 617.3, ('atti', 'numeric'): 617.4, ('atti', 'pack'): 617.4, ('atti', 'd2h'): 618.2}",1138_bus,?,,1,6140,1138
494,1666,8.827,4.287,7.947,5.648,5.133,4062,2278,2278,2278,2278,"{('cut', 'start'): 615.7, ('cut', 'h2d'): 616.5, ('cut', 'transpose'): 616.7, ('cut', 'workest'): 616.9, ('cut', 'compute'): 617.1, ('cut', 'copy'): 617.2, ('cut', 'pack'): 617.3, ('cut', 'd2h'): 620.7, ('atto', 'start'): 625.4, ('atto', 'csc'): 626.7, ('atto', 'h2d'): 626.7, ('atto', 'count'): 626.7, ('atto', 'scan'): 626.8, ('atto', 'expand'): 626.8, ('atto', 'sort'): 626.9, ('atto', 'reduce'): 627.0, ('atto', 'final'): 627.1, ('atto', 'pack'): 627.1, ('atto', 'd2h'): 628.4, ('attg', 'start'): 631.1, ('attg', 'csc'): 632.3, ('attg', 'h2d'): 632.4, ('attg', 'count'): 632.4, ('attg', 'scan'): 632.4, ('attg', 'expand'): 632.5, ('attg', 'compact'): 632.6, ('attg', 'sort'): 632.7, ('attg', 'reduce'): 632.8, ('attg', 'final'): 632.9, ('attg', 'pack'): 632.9, ('attg', 'd2h'): 636.9, ('attc', 'start'): 640.5, ('attc', 'csc'): 642.0, ('attc', 'h2d'): 642.0, ('attc', 'count'): 642.0, ('attc', 'scan'): 642.1, ('attc', 'expand'): 642.1, ('attc', 'compact'): 642.2, ('attc', 'sort'): 642.4, ('attc', 'reduce'): 642.4, ('attc', 'final'): 642.5, ('attc', 'pack'): 642.5, ('attc', 'd2h'): 644.8, ('atti', 'start'): 648.0, ('atti', 'csc'): 650.8, ('atti', 'h2d'): 650.8, ('atti', 'count'): 650.9, ('atti', 'scan'): 650.9, ('atti', 'expand'): 650.9, ('atti', 'compact'): 651.0, ('atti', 'sort'): 651.1, ('atti', 'reduce'): 651.2, ('atti', 'final'): 651.3, ('atti', 'symbolic'): 651.3, ('atti', 'numeric'): 651.3, ('atti', 'pack'): 651.3, ('atti', 'd2h'): 652.4}",494_bus,?,,1,2278,494
662,2474,2.324,3.198,1.677,1.542,1.695,6480,3571,3571,3571,3571,"{('cut', 'start'): 441.5, ('cut', 'h2d'): 441.6, ('cut', 'transpose'): 442.4, ('cut', 'workest'): 442.5, ('cut', 'compute'): 442.7, ('cut', 'copy'): 442.7, ('cut', 'pack'): 442.8, ('cut', 'd2h'): 443.7, ('atto', 'start'): 444.1, ('atto', 'csc'): 445.8, ('atto', 'h2d'): 445.8, ('atto', 'count'): 445.8, ('atto', 'scan'): 445.9, ('atto', 'expand'): 445.9, ('atto', 'sort'): 446.0, ('atto', 'reduce'): 446.0, ('atto', 'final'): 446.1, ('atto', 'pack'): 446.1, ('atto', 'd2h'): 447.0, ('attg', 'start'): 447.7, ('attg', 'csc'): 447.9, ('attg', 'h2d'): 447.9, ('attg', 'count'): 447.9, ('attg', 'scan'): 448.0, ('attg', 'expand'): 448.0, ('attg', 'compact'): 448.1, ('attg', 'sort'): 448.2, ('attg', 'reduce'): 448.2, ('attg', 'final'): 448.3, ('attg', 'pack'): 448.3, ('attg', 'd2h'): 449.2, ('attc', 'start'): 449.7, ('attc', 'csc'): 449.9, ('attc', 'h2d'): 449.9, ('attc', 'count'): 449.9, ('attc', 'scan'): 449.9, ('attc', 'expand'): 450.0, ('attc', 'compact'): 450.0, ('attc', 'sort'): 450.1, ('attc', 'reduce'): 450.2, ('attc', 'final'): 450.2, ('attc', 'pack'): 450.2, ('attc', 'd2h'): 451.1, ('atti', 'start'): 451.6, ('atti', 'csc'): 451.9, ('atti', 'h2d'): 451.9, ('atti', 'count'): 451.9, ('atti', 'scan'): 451.9, ('atti', 'expand'): 452.0, ('atti', 'compact'): 452.0, ('atti', 'sort'): 452.1, ('atti', 'reduce'): 452.2, ('atti', 'final'): 452.2, ('atti', 'symbolic'): 452.2, ('atti', 'numeric'): 452.3, ('atti', 'pack'): 452.3, ('atti', 'd2h'): 453.1}",662_bus,?,,1,3571,662
685,3249,1.63,1.536,1.637,1.579,1.61,9337,5011,5011,5011,5011,"{('cut', 'start'): 858.4, ('cut', 'h2d'): 858.5, ('cut', 'transpose'): 858.7, ('cut', 'workest'): 858.8, ('cut', 'compute'): 858.9, ('cut', 'copy'): 859.0, ('cut', 'pack'): 859.0, ('cut', 'd2h'): 859.9, ('atto', 'start'): 860.4, ('atto', 'csc'): 860.5, ('atto', 'h2d'): 860.6, ('atto', 'count'): 860.6, ('atto', 'scan'): 860.6, ('atto', 'expand'): 860.6, ('atto', 'sort'): 860.8, ('atto', 'reduce'): 860.8, ('atto', 'final'): 860.9, ('atto', 'pack'): 860.9, ('atto', 'd2h'): 861.7, ('attg', 'start'): 862.2, ('attg', 'csc'): 862.4, ('attg', 'h2d'): 862.4, ('attg', 'count'): 862.4, ('attg', 'scan'): 862.4, ('attg', 'expand'): 862.5, ('attg', 'compact'): 862.5, ('attg', 'sort'): 862.7, ('attg', 'reduce'): 862.7, ('attg', 'final'): 862.8, ('attg', 'pack'): 862.8, ('attg', 'd2h'): 863.7, ('attc', 'start'): 864.1, ('attc', 'csc'): 864.3, ('attc', 'h2d'): 864.3, ('attc', 'count'): 864.3, ('attc', 'scan'): 864.4, ('attc', 'expand'): 864.4, ('attc', 'compact'): 864.5, ('attc', 'sort'): 864.6, ('attc', 'reduce'): 864.6, ('attc', 'final'): 864.7, ('attc', 'pack'): 864.7, ('attc', 'd2h'): 865.5, ('atti', 'start'): 866.0, ('atti', 'csc'): 866.2, ('atti', 'h2d'): 866.2, ('atti', 'count'): 866.2, ('atti', 'scan'): 866.2, ('atti', 'expand'): 866.3, ('atti', 'compact'): 866.3, ('atti', 'sort'): 866.5, ('atti', 'reduce'): 866.5, ('atti', 'final'): 866.5, ('atti', 'symbolic'): 866.5, ('atti', 'numeric'): 866.6, ('atti', 'pack'): 866.6, ('atti', 'd2h'): 867.4}",685_bus,?,,1,5011,685
130,1282,1.585,1.504,1.627,1.612,1.707,15654,7892,7892,7892,7892,"{('cut', 'start'): 633.8, ('cut', 'h2d'): 633.9, ('cut', 'transpose'): 634.1, ('cut', 'workest'): 634.2, ('cut', 'compute'): 634.4, ('cut', 'copy'): 634.4, ('cut', 'pack'): 634.4, ('cut', 'd2h'): 635.3, ('atto', 'start'): 635.7, ('atto', 'csc'): 635.9, ('atto', 'h2d'): 635.9, ('atto', 'count'): 635.9, ('atto', 'scan'): 636.0, ('atto', 'expand'): 636.0, ('atto', 'sort'): 636.1, ('atto', 'reduce'): 636.1, ('atto', 'final'): 636.2, ('atto', 'pack'): 636.2, ('atto', 'd2h'): 637.1, ('attg', 'start'): 637.5, ('attg', 'csc'): 637.7, ('attg', 'h2d'): 637.7, ('attg', 'count'): 637.7, ('attg', 'scan'): 637.7, ('attg', 'expand'): 637.8, ('attg', 'compact'): 637.9, ('attg', 'sort'): 638.0, ('attg', 'reduce'): 638.0, ('attg', 'final'): 638.1, ('attg', 'pack'): 638.1, ('attg', 'd2h'): 639.0, ('attc', 'start'): 639.4, ('attc', 'csc'): 639.6, ('attc', 'h2d'): 639.6, ('attc', 'count'): 639.6, ('attc', 'scan'): 639.7, ('attc', 'expand'): 639.7, ('attc', 'compact'): 639.8, ('attc', 'sort'): 639.9, ('attc', 'reduce'): 640.0, ('attc', 'final'): 640.0, ('attc', 'pack'): 640.0, ('attc', 'd2h'): 640.9, ('atti', 'start'): 641.3, ('atti', 'csc'): 641.5, ('atti', 'h2d'): 641.5, ('atti', 'count'): 641.5, ('atti', 'scan'): 641.6, ('atti', 'expand'): 641.6, ('atti', 'compact'): 641.7, ('atti', 'sort'): 641.8, ('atti', 'reduce'): 641.9, ('atti', 'final'): 641.9, ('atti', 'symbolic'): 641.9, ('atti', 'numeric'): 642.0, ('atti', 'pack'): 642.0, ('atti', 'd2h'): 642.9}",arc130,?,,1,7892,130
292,2208,1.548,1.444,1.501,1.487,1.533,6042,3167,3167,3167,3167,"{('cut', 'start'): 617.6, ('cut', 'h2d'): 617.7, ('cut', 'transpose'): 617.9, ('cut', 'workest'): 618.0, ('cut', 'compute'): 618.1, ('cut', 'copy'): 618.2, ('cut', 'pack'): 618.2, ('cut', 'd2h'): 619.0, ('atto', 'start'): 619.6, ('atto', 'csc'): 619.8, ('atto', 'h2d'): 619.8, ('atto', 'count'): 619.8, ('atto', 'scan'): 619.8, ('atto', 'expand'): 619.9, ('atto', 'sort'): 620.0, ('atto', 'reduce'): 620.0, ('atto', 'final'): 620.1, ('atto', 'pack'): 620.1, ('atto', 'd2h'): 620.9, ('attg', 'start'): 621.3, ('attg', 'csc'): 621.5, ('attg', 'h2d'): 621.5, ('attg', 'count'): 621.5, ('attg', 'scan'): 621.6, ('attg', 'expand'): 621.6, ('attg', 'compact'): 621.6, ('attg', 'sort'): 621.8, ('attg', 'reduce'): 621.8, ('attg', 'final'): 621.8, ('attg', 'pack'): 621.9, ('attg', 'd2h'): 622.7, ('attc', 'start'): 623.1, ('attc', 'csc'): 623.2, ('attc', 'h2d'): 623.3, ('attc', 'count'): 623.3, ('attc', 'scan'): 623.3, ('attc', 'expand'): 623.3, ('attc', 'compact'): 623.4, ('attc', 'sort'): 623.5, ('attc', 'reduce'): 623.5, ('attc', 'final'): 623.6, ('attc', 'pack'): 623.6, ('attc', 'd2h'): 624.4, ('atti', 'start'): 624.8, ('atti', 'csc'): 625.0, ('atti', 'h2d'): 625.0, ('atti', 'count'): 625.1, ('atti', 'scan'): 625.1, ('atti', 'expand'): 625.1, ('atti', 'compact'): 625.2, ('atti', 'sort'): 625.3, ('atti', 'reduce'): 625.3, ('atti', 'final'): 625.4, ('atti', 'symbolic'): 625.4, ('atti', 'numeric'): 625.4, ('atti', 'pack'): 625.4, ('atti', 'd2h'): 626.3}",ash292,?,,1,3167,292
85,523,1.637,1.539,1.586,1.46,1.463,1317,701,701,701,701,"{('cut', 'start'): 641.2, ('cut', 'h2d'): 641.3, ('cut', 'transpose'): 641.5, ('cut', 'workest'): 641.6, ('cut', 'compute'): 641.8, ('cut', 'copy'): 641.8, ('cut', 'pack'): 641.9, ('cut', 'd2h'): 642.7, ('atto', 'start'): 643.1, ('atto', 'csc'): 643.4, ('atto', 'h2d'): 643.4, ('atto', 'count'): 643.5, ('atto', 'scan'): 643.5, ('atto', 'expand'): 643.5, ('atto', 'sort'): 643.6, ('atto', 'reduce'): 643.6, ('atto', 'final'): 643.7, ('atto', 'pack'): 643.7, ('atto', 'd2h'): 644.5, ('attg', 'start'): 645.0, ('attg', 'csc'): 645.2, ('attg', 'h2d'): 645.3, ('attg', 'count'): 645.3, ('attg', 'scan'): 645.3, ('attg', 'expand'): 645.3, ('attg', 'compact'): 645.4, ('attg', 'sort'): 645.5, ('attg', 'reduce'): 645.5, ('attg', 'final'): 645.5, ('attg', 'pack'): 645.6, ('attg', 'd2h'): 646.4, ('attc', 'start'): 646.9, ('attc', 'csc'): 647.0, ('attc', 'h2d'): 647.0, ('attc', 'count'): 647.1, ('attc', 'scan'): 647.1, ('attc', 'expand'): 647.1, ('attc', 'compact'): 647.2, ('attc', 'sort'): 647.3, ('attc', 'reduce'): 647.3, ('attc', 'final'): 647.3, ('attc', 'pack'): 647.4, ('attc', 'd2h'): 648.2, ('atti', 'start'): 648.6, ('atti', 'csc'): 648.8, ('atti', 'h2d'): 648.8, ('atti', 'count'): 648.8, ('atti', 'scan'): 648.8, ('atti', 'expand'): 648.9, ('atti', 'compact'): 648.9, ('atti', 'sort'): 649.0, ('atti', 'reduce'): 649.0, ('atti', 'final'): 649.1, ('atti', 'symbolic'): 649.1, ('atti', 'numeric'): 649.1, ('atti', 'pack'): 649.1, ('atti', 'd2h'): 649.9}",ash85,?,,1,701,85
39,131,1.663,1.538,1.618,1.737,1.639,275,157,157,157,157,"{('cut', 'start'): 622.5, ('cut', 'h2d'): 622.6, ('cut', 'transpose'): 622.8, ('cut', 'workest'): 622.9, ('cut', 'compute'): 623.1, ('cut', 'copy'): 623.1, ('cut', 'pack'): 623.2, ('cut', 'd2h'): 624.1, ('atto', 'start'): 624.5, ('atto', 'csc'): 624.8, ('atto', 'h2d'): 624.8, ('atto', 'count'): 624.8, ('atto', 'scan'): 624.8, ('atto', 'expand'): 624.8, ('atto', 'sort'): 624.9, ('atto', 'reduce'): 624.9, ('atto', 'final'): 625.0, ('atto', 'pack'): 625.0, ('atto', 'd2h'): 625.9, ('attg', 'start'): 626.3, ('attg', 'csc'): 626.6, ('attg', 'h2d'): 626.6, ('attg', 'count'): 626.6, ('attg', 'scan'): 626.7, ('attg', 'expand'): 626.7, ('attg', 'compact'): 626.7, ('attg', 'sort'): 626.8, ('attg', 'reduce'): 626.8, ('attg', 'final'): 626.9, ('attg', 'pack'): 626.9, ('attg', 'd2h'): 627.8, ('attc', 'start'): 628.2, ('attc', 'csc'): 628.6, ('attc', 'h2d'): 628.7, ('attc', 'count'): 628.7, ('attc', 'scan'): 628.7, ('attc', 'expand'): 628.7, ('attc', 'compact'): 628.8, ('attc', 'sort'): 628.8, ('attc', 'reduce'): 628.9, ('attc', 'final'): 628.9, ('attc', 'pack'): 629.0, ('attc', 'd2h'): 629.8, ('atti', 'start'): 630.2, ('atti', 'csc'): 630.5, ('atti', 'h2d'): 630.5, ('atti', 'count'): 630.5, ('atti', 'scan'): 630.6, ('atti', 'expand'): 630.6, ('atti', 'compact'): 630.7, ('atti', 'sort'): 630.7, ('atti', 'reduce'): 630.8, ('atti', 'final'): 630.8, ('atti', 'symbolic'): 630.8, ('atti', 'numeric'): 630.8, ('atti', 'pack'): 630.8, ('atti', 'd2h'): 631.7}",bcspwr01,?,,1,157,39
49,167,1.466,1.365,1.441,1.421,6.923,403,226,226,226,226,"{('cut', 'start'): 622.7, ('cut', 'h2d'): 622.8, ('cut', 'transpose'): 623.0, ('cut', 'workest'): 623.0, ('cut', 'compute'): 623.2, ('cut', 'copy'): 623.3, ('cut', 'pack'): 623.3, ('cut', 'd2h'): 624.1, ('atto', 'start'): 624.5, ('atto', 'csc'): 624.7, ('atto', 'h2d'): 624.7, ('atto', 'count'): 624.7, ('atto', 'scan'): 624.8, ('atto', 'expand'): 624.8, ('atto', 'sort'): 624.8, ('atto', 'reduce'): 624.9, ('atto', 'final'): 624.9, ('atto', 'pack'): 624.9, ('atto', 'd2h'): 625.7, ('attg', 'start'): 626.1, ('attg', 'csc'): 626.3, ('attg', 'h2d'): 626.3, ('attg', 'count'): 626.3, ('attg', 'scan'): 626.4, ('attg', 'expand'): 626.4, ('attg', 'compact'): 626.4, ('attg', 'sort'): 626.5, ('attg', 'reduce'): 626.5, ('attg', 'final'): 626.6, ('attg', 'pack'): 626.6, ('attg', 'd2h'): 627.4, ('attc', 'start'): 627.8, ('attc', 'csc'): 628.0, ('attc', 'h2d'): 628.0, ('attc', 'count'): 628.0, ('attc', 'scan'): 628.1, ('attc', 'expand'): 628.1, ('attc', 'compact'): 628.2, ('attc', 'sort'): 628.2, ('attc', 'reduce'): 628.3, ('attc', 'final'): 628.3, ('attc', 'pack'): 628.3, ('attc', 'd2h'): 629.1, ('atti', 'start'): 630.9, ('atti', 'csc'): 633.3, ('atti', 'h2d'): 633.3, ('atti', 'count'): 633.3, ('atti', 'scan'): 633.3, ('atti', 'expand'): 633.3, ('atti', 'compact'): 633.4, ('atti', 'sort'): 633.5, ('atti', 'reduce'): 633.5, ('atti', 'final'): 633.6, ('atti', 'symbolic'): 633.6, ('atti', 'numeric'): 633.6, ('atti', 'pack'): 633.6, ('atti', 'd2h'): 635.6}",bcspwr02,?,,1,226,49
118,476,1.334,1.235,1.235,1.257,1.23,1270,694,694,694,694,"{('cut', 'start'): 621.1, ('cut', 'h2d'): 621.2, ('cut', 'transpose'): 621.3, ('cut', 'workest'): 621.4, ('cut', 'compute'): 621.6, ('cut', 'copy'): 621.6, ('cut', 'pack'): 621.7, ('cut', 'd2h'): 622.4, ('atto', 'start'): 622.8, ('atto', 'csc'): 622.9, ('atto', 'h2d'): 623.0, ('atto', 'count'): 623.0, ('atto', 'scan'): 623.0, ('atto', 'expand'): 623.0, ('atto', 'sort'): 623.1, ('atto', 'reduce'): 623.1, ('atto', 'final'): 623.2, ('atto', 'pack'): 623.2, ('atto', 'd2h'): 623.9, ('attg', 'start'): 624.3, ('attg', 'csc'): 624.4, ('attg', 'h2d'): 624.4, ('attg', 'count'): 624.4, ('attg', 'scan'): 624.5, ('attg', 'expand'): 624.5, ('attg', 'compact'): 624.6, ('attg', 'sort'): 624.6, ('attg', 'reduce'): 624.6, ('attg', 'final'): 624.7, ('attg', 'pack'): 624.7, ('attg', 'd2h'): 625.4, ('attc', 'start'): 625.7, ('attc', 'csc'): 625.9, ('attc', 'h2d'): 625.9, ('attc', 'count'): 625.9, ('attc', 'scan'): 626.0, ('attc', 'expand'): 626.0, ('attc', 'compact'): 626.0, ('attc', 'sort'): 626.1, ('attc', 'reduce'): 626.1, ('attc', 'final'): 626.2, ('attc', 'pack'): 626.2, ('attc', 'd2h'): 626.9, ('atti', 'start'): 627.3, ('atti', 'csc'): 627.4, ('atti', 'h2d'): 627.4, ('atti', 'count'): 627.4, ('atti', 'scan'): 627.5, ('atti', 'expand'): 627.5, ('atti', 'compact'): 627.5, ('atti', 'sort'): 627.6, ('atti', 'reduce'): 627.6, ('atti', 'final'): 627.7, ('atti', 'symbolic'): 627.7, ('atti', 'numeric'): 627.7, ('atti', 'pack'): 627.7, ('atti', 'd2h'): 628.4}",bcspwr03,?,,1,694,118
